Timestamp,Genul,Nivelul de învățământ la care predați:,Disciplina / aria curriculară predată:,Vechimea în învățământ (ani):,Localitatea (oraș/sat):,Mă simt capabil(ă) să formulez prompturi clare și eficiente pentru diverse sarcini educaționale.,Înțeleg suficient de bine modul în care funcționează AI generativă pentru a o integra în predare.,Pot identifica situațiile didactice în care utilizarea AI generative ar putea îmbunătăți învățarea elevilor.,Mă simt pregătit(ă) să explic elevilor cum să utilizeze responsabil instrumente de AI generativă.,Pot evalua calitatea și acuratețea conținutului generat de un model de AI.,Pot adapta activități deja existente pentru a include utilizarea AI generative.,"Pot detecta erorile, biasurile și limitările instrumentelor de AI generativă atunci când lucrez cu acestea.",Sunt sigur(ă) că pot proiecta o lecție în care elevii folosesc AI generativă într-un mod productiv.,Mă simt încrezător/oare că pot preveni confuziile elevilor atunci când utilizează AI.,Pot gestiona situațiile în care elevii folosesc AI într-un mod neadecvat sau impropriu.,Sunt sigur(ă) că pot integra AI generativă astfel încât să sprijin dezvoltarea competențelor elevilor.,Pot răspunde eficient întrebărilor elevilor legate de funcționarea sau utilizarea AI generative.,Pot concepe activități de evaluare în care AI generativă este folosită corect și transparent.,"Dacă apar dificultăți tehnice sau pedagogice, mă simt capabil(ă) să găsesc soluții adecvate.",Utilizarea AI generative mă ajută să pregătesc mai rapid materialele pentru lecții.,Consider că AI generativă poate îmbunătăți calitatea explicațiilor și exemplelor oferite elevilor.,Activitățile cu AI generativă pot crește implicarea elevilor în învățare.,AI generativă poate sprijini diferențierea instruirii pentru elevii cu niveluri diferite.,Consider că AI generativă poate contribui la eficientizarea evaluării și feedbackului.,Utilizarea AI generative poate reduce volumul sarcinilor administrative ale profesorului.,Mi-e teamă că elevii ar putea folosi AI generativă pentru a trișa la teme sau evaluări.,Consider că instrumentele de AI generativă pot furniza informații inexacte sau eronate.,Sunt îngrijorat(ă) că utilizarea AI generative în clasă ar putea reduce motivația elevilor de a gândi autonom.,Există riscul ca elevii să devină prea dependenți de AI pentru sarcini simple.,Cred că AI generativă poate produce conținut cu bias sau stereotipuri.,Mi-e teamă că nu există suficiente reguli clare privind folosirea AI în școală.,Utilizarea AI generative ridică probleme legate de protecția datelor elevilor.,Cred că profesorii încă nu sunt pregătiți să gestioneze provocările etice ale AI generative.,Conducerea școlii mele sprijină inițiativele legate de utilizarea AI în educație.,În școala mea există o cultură care încurajează inovația și experimentarea cu tehnologii digitale.,Școala oferă informații sau orientări clare privind utilizarea AI cu elevii.,Pot primi sprijin tehnic sau pedagogic atunci când doresc să folosesc AI generativă în activitatea didactică.,Colegii mei sunt deschiși să discute și să împărtășească experiențe privind utilizarea AI.,Intenționez să folosesc AI generativă în lecțiile mele în următoarele 6 luni.,"Voi integra AI generativă în cel puțin o activitate didactică pe săptămână, dacă voi avea posibilitatea.",Voi încuraja elevii să folosească AI generativă în mod responsabil în activitățile lor școlare.,Vreau să experimentez și să învăț metode noi de integrare a AI generative în predare.,Sunt dispus(ă) să recomand colegilor mei utilizarea AI generative în activitatea didactică.,Descrieți o situație concretă în care ați utilizat sau ați fi dorit să utilizați AI generativă la clasă.,Care sunt principalele obstacole sau îngrijorări pe care le aveți privind utilizarea AI?,Ce tip de sprijin v-ar motiva să integrați AI generativă în activitățile cu elevii?
06/12/2025 09:25:13,M,Liceu (clasele X-XII),Fizica,Mai mult de 10 ani,Localitate urbană,7 - În total acord,4,4,4,4,3,6,3,5,3,5,4,3,5,4,4,4,4,5,5,3,5,3,4,5,4,4,4,4,5,6,5,4,6,4,3,3,5,,,
06/12/2025 09:26:42,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)","Istoria, Educația pentru Societate",Mai mult de 10 ani,Localitate urbană,3,3,3,2,5,3,4,3,3,4,3,2,2,2,3,4,3,4,4,4,6,5,5,6,4,4,4,5,6,6,4,4,6,4,5,5,5,4,Elaborarea sarcinilor la un produs ,Formularea sarcinii,Practic
06/12/2025 09:28:06,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Geografia,Mai mult de 10 ani,Localitate urbană,5,3,4,3,4,4,4,4,3,4,3,4,3,3,4,3,3,3,3,4,3,3,6,5,4,5,4,7 - În total acord,6,5,4,5,4,4,4,5,4,3,Pregătirea măsurilor extracurriculare,"Elevii nu citesc, nu deschid manualele",Pentru elevi acces limitat.
06/12/2025 09:28:24,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Limba Română,Mai mult de 10 ani,Localitate urbană,5,4,4,3,3,5,4,5,4,3,3,4,3,3,4,4,4,4,3,3,5,3,4,7 - În total acord,5,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,7 - În total acord,6,7 - În total acord,4,6,5,5,6,Am utilizat ieri AI pentru lecția cu elevii vorbitori de alta limbă. ,Nu știu avem conexiuna bună la internet în timpul serviciului. ,Mai mult timp liber. 
06/12/2025 09:30:22,M,"Primar (clasele I-IV), Gimnaziu (clasele V-IX)",Limba Engleză,Mai puțin de 1 an,Localitate urbană,4,7 - În total acord,5,4,4,5,6,4,5,4,4,3,5,5,7 - În total acord,6,2,4,5,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,5,7 - În total acord,6,7 - În total acord,7 - În total acord,6,5,6,3,5,6,3,6,4,La pregătirea planurilor pentru lexție și proiectarea activităților didactice,AI-ul ar putea împiedica gândirea autonomă a elevilor,Cursuri de instruire în folosirea AI și suport tehnic în utilizarea acestuia
06/12/2025 09:31:39,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Matematica,Mai mult de 10 ani,Localitate urbană,4,2,3,3,2,2,1 - În total dezacord,2,2,3,2,1 - În total dezacord,1 - În total dezacord,1 - În total dezacord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,4,7 - În total acord,4,7 - În total acord,7 - În total acord,7 - În total acord,5,4,5,7 - În total acord,5,7 - În total acord,7 - În total acord,7 - În total acord,La generarea proiectelor,Nu voi reuși ,Formări 
06/12/2025 09:32:28,F,Gimnaziu (clasele V-IX),Limba Română,Mai mult de 10 ani,Localitate urbană,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,6,5,5,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,Proiecte de activități interdisciplinare,Șabloane cu plata,Calatorii
06/12/2025 09:32:39,M,"Primar (clasele I-IV), Gimnaziu (clasele V-IX)","Educația Tehnologică, Educația Muzicală",Mai mult de 10 ani,Localitate urbană,1 - În total dezacord,7 - În total acord,7 - În total acord,1 - În total dezacord,7 - În total acord,1 - În total dezacord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,1 - În total dezacord,1 - În total dezacord,7 - În total acord,1 - În total dezacord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,1 - În total dezacord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,1 - În total dezacord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,Realizarea evaluării ,Răspuns ironat,Cursuri
06/12/2025 09:33:34,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)","Limba Română, Limba Rusă",Mai mult de 10 ani,Localitate urbană,6,6,6,6,6,6,6,6,6,5,5,4,4,4,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,6,6,6,6,6,4,4,5,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,În cadrul orei publice în luna noiembrie ,Vârsta ,Orice tip de sprijin.
06/12/2025 09:33:46,F,Liceu (clasele X-XII),Fizica,Mai mult de 10 ani,Localitate urbană,3,3,1 - În total dezacord,1 - În total dezacord,1 - În total dezacord,1 - În total dezacord,1 - În total dezacord,1 - În total dezacord,1 - În total dezacord,4,2,1 - În total dezacord,1 - În total dezacord,4,1 - În total dezacord,5,5,5,5,5,6,4,4,4,5,5,4,6,7 - În total acord,6,6,6,6,5,4,4,6,5,La evaluari,Sa nu copieze,Proiectarea zilnica
